"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a pending test","PENDING","2023-01-24T14:39:31.118+02:00[Africa/Harare]","0.0","0.55"
"Serenity id info","This is a pending test","PENDING","2023-01-24T14:39:31.161+02:00[Africa/Harare]","0.0","0.56"
"First serenity test","This is a manual test","PENDING","2023-01-24T14:39:31.675+02:00[Africa/Harare]","0.0","0.54"
"Serenity id info","This is a manual test","PENDING","2023-01-24T14:39:31.721+02:00[Africa/Harare]","0.0","0.55"
