"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a skipped test","IGNORED","2023-01-24T14:39:24.624+02:00[Africa/Harare]","0.0","0.7"
"First serenity test","Get all student","SUCCESS","2023-01-24T14:39:26.055+02:00[Africa/Harare]","0.0","5.06"
"First serenity test","This is a pending test","PENDING","2023-01-24T14:39:31.118+02:00[Africa/Harare]","0.0","0.55"
"First serenity test","This is a manual test","PENDING","2023-01-24T14:39:31.675+02:00[Africa/Harare]","0.0","0.54"
"First serenity test","This is a test with error","ERROR","2023-01-24T14:39:32.219+02:00[Africa/Harare]","0.0","0.36"
"First serenity test","This test will get the information of all the student from the Student App","SUCCESS","2023-01-24T14:39:32.587+02:00[Africa/Harare]","0.0","0.37"
"First serenity test","File does not exist","COMPROMISED","2023-01-24T14:39:32.956+02:00[Africa/Harare]","0.0","0.3"
"First serenity test","This isa filing","FAILURE","2023-01-24T14:39:33.255+02:00[Africa/Harare]","0.0","0.39"
