"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Get all student","SUCCESS","2023-01-24T14:39:26.055+02:00[Africa/Harare]","0.0","5.06"
"Serenity id info","Get all student","SUCCESS","2023-01-24T14:39:26.063+02:00[Africa/Harare]","0.0","5.1"
"First serenity test","This test will get the information of all the student from the Student App","SUCCESS","2023-01-24T14:39:32.587+02:00[Africa/Harare]","0.0","0.37"
"Student CRUD test","This test will create a new student","SUCCESS","2023-01-24T14:39:36.909+02:00[Africa/Harare]","0.0","1.44"
"Student CRUD test","Verify if the student was added to the application","SUCCESS","2023-01-24T14:39:38.347+02:00[Africa/Harare]","0.0","0.81"
"Student CRUD test","Update the user information and verify the updated information!","SUCCESS","2023-01-24T14:39:39.155+02:00[Africa/Harare]","0.0","0.52"
"Student CRUD test","Delete the student and verify the student is deleted!","SUCCESS","2023-01-24T14:39:39.672+02:00[Africa/Harare]","0.0","0.51"
"Create student data driven test","DataDriven test for adding multiple students to Student App","SUCCESS","2023-01-24T14:40:05.85+02:00[Africa/Harare]","0.0","30.68"
